epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3362,1.01628,0.87849,0.87975,0.68034,0.64032,0.69541,0.47695,1.02346,0.88464,0.88549,0.0676324,6.48649e-05,6.48649e-05
2,35.2692,0.94718,0.81513,0.86939,0.75567,0.65483,0.73478,0.50557,0.99282,0.75101,0.87129,0.0343593,0.000125021,0.000125021
3,49.8748,0.97289,0.82777,0.8713,0.78586,0.69335,0.77606,0.56371,0.85782,0.67647,0.85018,0.00107948,0.000178577,0.000178577
4,64.7011,0.96847,0.82721,0.87243,0.79126,0.71427,0.78801,0.57395,0.84794,0.65549,0.84997,0.0001703,0.0001703,0.0001703
5,79.3442,0.97656,0.82737,0.87141,0.79425,0.69853,0.78214,0.56699,0.86011,0.66652,0.85172,0.0001604,0.0001604,0.0001604
6,95.9115,0.96688,0.8191,0.87074,0.76921,0.7068,0.77199,0.55805,0.86473,0.66687,0.85045,0.0001505,0.0001505,0.0001505
7,110.358,0.94037,0.7917,0.86946,0.76679,0.69319,0.76223,0.5439,0.89155,0.67749,0.85415,0.0001406,0.0001406,0.0001406
8,124.901,0.96233,0.81123,0.86988,0.82971,0.71352,0.8024,0.58149,0.85052,0.64202,0.84917,0.0001307,0.0001307,0.0001307
9,139.37,0.94564,0.7919,0.86987,0.81052,0.71367,0.79843,0.58356,0.85634,0.65544,0.84914,0.0001208,0.0001208,0.0001208
10,154.26,0.95275,0.79959,0.86795,0.81577,0.72239,0.80475,0.58857,0.86608,0.64377,0.84796,0.0001109,0.0001109,0.0001109
11,169.351,0.94384,0.79217,0.87064,0.82527,0.72275,0.8078,0.59206,0.83736,0.63229,0.84576,0.000101,0.000101,0.000101
12,184.493,0.96446,0.81629,0.86852,0.81365,0.73422,0.80814,0.59309,0.83003,0.62857,0.84511,9.11e-05,9.11e-05,9.11e-05
13,198.771,0.93388,0.78727,0.8696,0.82288,0.71689,0.80287,0.58898,0.82968,0.63463,0.84594,8.12e-05,8.12e-05,8.12e-05
14,213.229,0.94249,0.79555,0.86994,0.81528,0.72203,0.8061,0.58936,0.84016,0.63282,0.8468,7.13e-05,7.13e-05,7.13e-05
15,227.701,0.94419,0.79477,0.8694,0.83036,0.72153,0.80859,0.59426,0.82854,0.62753,0.84568,6.14e-05,6.14e-05,6.14e-05
16,242.19,0.94043,0.79303,0.87028,0.82148,0.72685,0.80703,0.58597,0.84392,0.63335,0.84831,5.15e-05,5.15e-05,5.15e-05
17,257.365,0.94459,0.7978,0.86946,0.82581,0.72469,0.80862,0.59157,0.83379,0.62953,0.84681,4.16e-05,4.16e-05,4.16e-05
18,272.014,0.94388,0.79283,0.86942,0.82657,0.72657,0.80823,0.58739,0.83752,0.62875,0.84741,3.17e-05,3.17e-05,3.17e-05
19,286.832,0.94644,0.79401,0.8703,0.83024,0.735,0.81445,0.59684,0.82829,0.62298,0.84592,2.18e-05,2.18e-05,2.18e-05
20,301.533,0.95527,0.80683,0.86952,0.82745,0.73041,0.81218,0.592,0.83387,0.62312,0.84683,1.19e-05,1.19e-05,1.19e-05
