epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,429.686,1.00554,1.05835,0.88394,0.54115,0.55113,0.55781,0.41075,0.91849,0.8765,0.86051,0.000147788,0.000147788,0.000147788
43,438.299,0.99914,1.04016,0.88346,0.5461,0.56204,0.56306,0.41593,0.91591,0.87356,0.85941,0.000144075,0.000144075,0.000144075
44,446.937,0.9991,1.04621,0.88354,0.5385,0.55937,0.56725,0.41742,0.91,0.86724,0.85848,0.000140363,0.000140363,0.000140363
45,455.621,0.99425,1.03533,0.88296,0.56011,0.55434,0.5666,0.41552,0.91431,0.86635,0.85876,0.00013665,0.00013665,0.00013665
46,464.613,1.00361,1.03831,0.88208,0.55938,0.57539,0.58072,0.42638,0.91629,0.8645,0.85963,0.000132937,0.000132937,0.000132937
47,473.262,1.01193,1.04374,0.88392,0.57278,0.56205,0.58503,0.43255,0.91678,0.85784,0.85831,0.000129225,0.000129225,0.000129225
48,482.213,1.00185,1.01884,0.8829,0.6001,0.55987,0.59359,0.43927,0.92058,0.85417,0.85903,0.000125512,0.000125512,0.000125512
49,491.474,0.99958,1.01825,0.88075,0.6028,0.56459,0.60058,0.44174,0.90333,0.83762,0.85719,0.0001218,0.0001218,0.0001218
50,500.715,1.0024,1.01871,0.88019,0.5983,0.57719,0.60525,0.44522,0.90017,0.83168,0.8568,0.000118087,0.000118087,0.000118087
51,509.436,0.98311,0.9929,0.88288,0.59597,0.57825,0.60779,0.44581,0.90419,0.83113,0.85724,0.000114375,0.000114375,0.000114375
52,518.493,0.98601,0.99388,0.88214,0.58732,0.59354,0.60999,0.44947,0.89889,0.82686,0.85627,0.000110663,0.000110663,0.000110663
53,527.541,0.98059,0.98435,0.88051,0.6246,0.58516,0.62127,0.45858,0.89781,0.82014,0.85595,0.00010695,0.00010695,0.00010695
54,536.735,0.99023,0.99278,0.87999,0.61882,0.58733,0.62249,0.45724,0.89313,0.81447,0.85526,0.000103237,0.000103237,0.000103237
55,545.972,0.99522,0.99248,0.88068,0.62552,0.58488,0.627,0.4629,0.90561,0.81574,0.85638,9.9525e-05,9.9525e-05,9.9525e-05
56,555.138,0.98038,0.9711,0.8788,0.6128,0.60527,0.62987,0.45861,0.89949,0.80695,0.85657,9.58125e-05,9.58125e-05,9.58125e-05
57,564.066,0.98095,0.97452,0.87742,0.62481,0.60325,0.63534,0.46639,0.8938,0.80303,0.85577,9.21e-05,9.21e-05,9.21e-05
58,574.733,0.97401,0.96614,0.87733,0.6364,0.60976,0.64316,0.47442,0.88684,0.79379,0.85457,8.83875e-05,8.83875e-05,8.83875e-05
